Car ID	Miles Per Gallon	Engine Size (cube in)	Horse powers	Weight in pounds	Acceleration (0 to 60)	Country of Origin	Number of Cylinders				
91	12	429	198	4952	12	1	8				
92	13	400	150	4464	12	1	8				
93	13	351	158	4363	13	1	8				
94	14	318	150	4237	15	1	8				
95	13	440	215	4735	11	1	8				
96	12	455	225	4951	11	1	8				
97	13	360	175	3821	11	1	8				
98	18	225	105	3121	17	1	6				
99	16	250	100	3278	18	1	6				
100	18	232	100	2945	16	1	6				
101	18	250	88	3021	17	1	6				
102	23	198	95	2904	16	1	6				
103	26	97	46	1950	21	2	4				
104	11	400	150	4997	14	1	8				
105	12	400	167	4906	13	1	8				
106	13	360	170	4654	13	1	8				
107	12	350	180	4499	13	1	8				
108	18	232	100	2789	15	1	6				
109	20	97	88	2279	19	3	4				
110	21	140	72	2401	20	1	4				
111	22	108	94	2379	17	3	4				
112	18	70	90	2124	14	3	3				
113	19	122	85	2310	19	1	4				
114	21	155	107	2472	14	1	6				
115	26	98	90	2265	16	2	4				
116	15	350	145	4082	13	1	8				
117	16	400	230	4278	10	1	8				
118	29	68	49	1867	20	2	4				
119	24	116	75	2158	16	2	4				
120	20	114	91	2582	14	2	4				
121	19	121	112	2868	16	2	4				
122	15	318	150	3399	11	1	8				
123	24	121	110	2660	14	2	4				
124	20	156	122	2807	14	3	6				
125	11	350	180	3664	11	1	8				
126	20	198	95	3102	17	1	6				
127	21	200	120	2875	17	1	6				
128	19	232	100	2901	16	1	6				
129	15	250	100	3336	17	1	6				
130	31	79	67	1950	19	3	4				
131	26	122	80	2451	17	1	4				
132	32	71	65	1836	21	3	4				
133	25	140	75	2542	17	1	4				
134	16	250	100	3781	17	1	6				
135	16	258	110	3632	18	1	6				
136	18	225	105	3613	17	1	6				
137	16	302	140	4141	14	1	8				
138	13	350	150	4699	15	1	8				
139	14	318	150	4457	14	1	8				
140	14	302	140	4638	16	1	8				
141	14	304	150	4257	16	1	8				
142	29	98	83	2219	17	2	4				
143	26	79	67	1963	16	2	4				
144	26	97	78	2300	15	2	4				
145	31	76	52	1649	17	3	4				
146	32	83	61	2003	19	3	4				
147	28	90	75	2125	15	1	4				
148	24	90	75	2108	16	2	4				
149	26	116	75	2246	14	2	4				
150	24	120	97	2489	15	3	4				
151	26	108	93	2391	16	3	4				
152	31	79	67	2000	16	2	4				
153	19	225	95	3264	16	1	6				
154	18	250	105	3459	16	1	6				
155	15	250	72	3432	21	1	6				
156	15	250	72	3158	20	1	6				
157	16	400	170	4668	12	1	8				
158	15	350	145	4440	14	1	8				
159	16	318	150	4498	15	1	8				
160	14	351	148	4657	14	1	8				
161	17	231	110	3907	21	1	6				
162	16	250	105	3897	19	1	6				
163	15	258	110	3730	19	1	6				
164	18	225	95	3785	19	1	6				
165	21	231	110	3039	15	1	6				
166	20	262	110	3221	14	1	8				
167	13	302	129	3169	12	1	8				
168	29	97	75	2171	16	3	4				
169	23	140	83	2639	17	1	4				
170	20	232	100	2914	16	1	6				
171	23	140	78	2592	19	1	4				
172	24	134	96	2702	14	3	4				
173	25	90	71	2223	17	2	4				
174	24	119	97	2545	17	3	4				
175	18	171	97	2984	15	1	6				
176	29	90	70	1937	14	2	4				
177	19	232	90	3211	17	1	6				
178	23	115	95	2694	15	2	4				
179	23	120	88	2957	17	2	4				
180	22	121	98	2945	15	2	4				
181	25	121	115	2671	14	2	4				
182	33	91	53	1795	18	3	4				
183	28	107	86	2464	16	2	4				
184	25	116	81	2220	17	2	4				
185	25	140	92	2572	15	1	4				
186	26	98	79	2255	18	1	4				
187	27	101	83	2202	15	2	4				
188	18	305	140	4215	13	1	8				
189	16	318	150	4190	13	1	8				
190	16	304	120	3962	14	1	8				
191	15	351	152	4215	13	1	8				
192	22	225	100	3233	15	1	6				
193	22	250	105	3353	15	1	6				
194	24	200	81	3012	18	1	6				
195	23	232	90	3085	18	1	6				
196	29	85	52	2035	22	1	4				
197	25	98	60	2164	22	1	4				
198	29	90	70	1937	14	2	4				
199	33	91	53	1795	17	3	4				
200	20	225	100	3651	18	1	6				
201	18	250	78	3574	21	1	6				
202	19	250	110	3645	16	1	6				
203	18	258	95	3193	18	1	6				
204	30	97	71	1825	12	2	4				
205	32	85	70	1990	17	3	4				
206	28	97	75	2155	16	3	4				
207	27	140	72	2565	14	1	4				
208	20	130	102	3150	16	2	4				
209	13	318	150	3940	13	1	8				
210	19	120	88	3270	22	2	4				
211	19	156	108	2930	16	3	6				
212	17	168	120	3820	17	2	6				
213	17	350	180	4380	12	1	8				
214	13	350	145	4055	12	1	8				
215	13	302	130	3870	15	1	8				
216	13	318	150	3755	14	1	8				
217	32	98	68	2045	19	3	4				
218	30	111	80	2155	15	1	4				
219	36	79	58	1825	19	2	4				
220	26	122	96	2300	16	1	4				
221	34	85	70	1945	17	3	4				
222	18	305	145	3880	13	1	8				
223	17	260	110	4060	19	1	8				
224	16	318	145	4140	14	1	8				
225	15	302	130	4295	15	1	8				
226	18	250	110	3520	16	1	6				
227	21	231	105	3425	17	1	6				
228	19	225	100	3630	18	1	6				
229	19	250	98	3525	19	1	6				
230	16	400	180	4220	11	1	8				
231	16	350	170	4165	11	1	8				
232	16	400	190	4325	12	1	8				
233	16	351	149	4335	15	1	8				
234	29	97	78	1940	15	2	4				
235	25	151	88	2740	16	1	4				
236	26	97	75	2265	18	3	4				
237	26	140	89	2755	16	1	4				
238	31	98	63	2051	17	1	4				
239	34	98	83	2075	16	1	4				
240	30	97	67	1985	16	3	4				
241	31	97	78	2190	14	2	4				
242	22	146	97	2815	15	3	6				
243	22	121	110	2600	13	2	4				
244	22	80	110	2720	14	3	3				
245	43	90	48	1985	22	2	4				
246	36	98	66	1800	14	1	4				
247	33	78	52	1985	19	3	4				
248	39	85	70	2070	19	3	4				
249	36	91	60	1800	16	3	4				
250	20	260	110	3365	16	1	8				
251	19	318	140	3735	13	1	8				
252	20	302	139	3570	13	1	8				
253	19	231	105	3535	19	1	6				
254	21	200	95	3155	18	1	6				
255	20	200	85	2965	16	1	6				
256	25	140	88	2720	15	1	4				
257	21	225	100	3430	17	1	6				
258	19	232	90	3210	17	1	6				
259	21	231	105	3380	16	1	6				
260	21	200	85	3070	17	1	6				
261	19	225	110	3620	19	1	6				
262	18	258	120	3410	15	1	6				
263	19	305	145	3425	13	1	8				
264	18	231	165	3445	13	1	6				
265	18	302	139	3205	11	1	8				
266	18	318	140	4080	14	1	8				
267	30	98	68	2155	17	1	4				
268	28	134	95	2560	14	3	4				
269	27	119	97	2300	15	3	4				
270	31	105	75	2230	15	1	4				
271	21	134	95	2515	15	3	4				
272	23	156	105	2745	17	1	4				
273	24	151	85	2855	18	1	4				
274	24	119	97	2405	15	3	4				
275	20	131	103	2830	16	2	5				
276	17	163	125	3140	14	2	6				
277	22	121	115	2795	16	2	4				
278	16	163	133	3410	16	2	6				
279	32	89	71	1990	15	2	4				
280	30	98	68	2135	17	3	4				
281	22	231	115	3245	15	1	6				
282	20	200	85	2990	18	1	6				
283	22	140	88	2890	17	1	4				
284	20	232	90	3265	18	1	6				
285	21	225	110	3360	17	1	6				
286	17	305	130	3840	15	1	8				
287	18	302	129	3725	13	1	8				
288	17	351	138	3955	13	1	8				
289	18	318	135	3830	15	1	8				
290	17	350	155	4360	15	1	8				
291	16	351	142	4054	14	1	8				
292	19	267	125	3605	15	1	8				
293	19	360	150	3940	13	1	8				
294	32	89	71	1925	14	2	4				
295	34	86	65	1975	15	3	4				
296	36	98	80	1915	14	1	4				
297	27	121	80	2670	15	1	4				
298	25	183	77	3530	20	2	5				
299	23	350	125	3900	17	1	8				
300	27	141	71	3190	25	2	4				
301	24	260	90	3420	22	1	8				
302	34	105	70	2200	13	1	4				
303	35	105	70	2150	15	1	4				
304	32	85	65	2020	19	3	4				
305	37	91	69	2130	15	2	4				
306	28	151	90	2670	16	1	4				
307	29	173	115	2595	11	1	6				
308	27	173	115	2700	13	1	6				
309	34	151	90	2556	13	1	4				
310	42	98	76	2144	15	2	4				
311	38	89	60	1968	19	3	4				
312	32	98	70	2120	16	1	4				
313	37	86	65	2019	16	3	4				
314	28	151	90	2678	17	1	4				
315	26	140	88	2870	18	1	4				
316	24	151	90	3003	20	1	4				
317	19	225	90	3381	19	1	6				
318	34	97	78	2188	16	2	4				
319	30	134	90	2711	16	3	4				
320	31	120	75	2542	18	3	4				
321	37	119	92	2434	15	3	4				
322	32	108	75	2265	15	3	4				
323	47	86	65	2110	18	3	4				
324	28	156	105	2800	14	1	4				
325	41	85	65	2110	19	3	4				
326	44	90	48	2085	22	2	4				
327	43	90	48	2335	24	2	4				
328	36	121	67	2950	20	2	5				
329	30	146	67	3250	22	2	4				
330	45	91	67	1850	14	3	4				
331	41	85	87	1835	17	2	4				
332	34	97	67	2145	18	3	4				
333	30	89	62	1845	15	2	4				
334	33	168	132	2910	11	3	6				
335	24	70	100	2420	13	3	3				
336	35	122	88	2500	15	2	4				
337	24	140	124	2905	14	1	4				
338	32	107	72	2290	17	3	4				
339	27	135	84	2490	16	1	4				
340	27	151	84	2635	16	1	4				
341	26	156	92	2620	14	1	4				
342	24	173	110	2725	13	1	6				
343	30	135	84	2385	13	1	4				
344	39	79	58	1755	17	3	4				
345	39	86	64	1875	16	1	4				
346	35	81	60	1760	16	3	4				
347	32	97	67	2065	18	3	4				
348	37	85	65	1975	19	3	4				
349	38	89	62	2050	17	3	4				
350	34	91	68	1985	16	3	4				
351	35	105	63	2215	15	1	4				
352	34	98	65	2045	16	1	4				
353	30	98	65	2380	21	1	4				
354	33	105	74	2190	14	2	4				
355	35	100	101	2320	16	2	4				
356	34	107	75	2210	14	3	4				
357	32	108	75	2350	17	3	4				
358	33	119	100	2615	15	3	4				
359	32	120	74	2635	18	3	4				
360	28	141	80	3230	20	2	4				
361	31	145	76	3160	20	2	6				
362	25	168	116	2900	13	3	6				
363	24	146	120	2930	14	3	6				
364	22	231	110	3415	16	1	6				
365	27	350	105	3725	19	1	8				
366	20	200	88	3060	17	1	6				
367	18	225	85	3465	17	1	6				
368	28	112	88	2605	20	1	4				
369	27	112	88	2640	19	1	4				
370	34	112	88	2395	18	1	4				
371	31	112	85	2575	16	1	4				
372	29	135	84	2525	16	1	4				
373	27	151	90	2735	18	1	4				
374	24	140	92	2865	16	1	4				
375	23	151	255	3035	21	1	4				
376	36	105	74	1980	15	2	4				
377	37	91	68	2025	18	3	4				
378	31	91	68	1970	18	3	4				
379	38	105	63	2125	15	1	4				
380	36	98	70	2125	17	1	4				
381	36	120	88	2160	15	3	4				
382	36	107	75	2205	15	3	4				
383	34	108	70	2245	17	3	4				
384	38	91	67	1965	15	3	4				
385	32	91	67	1965	16	3	4				
386	38	91	67	1995	16	3	4				
387	25	181	110	2945	16	1	6				
388	38	262	85	3015	17	1	6				
389	26	156	92	2585	15	1	4				
390	22	232	112	2835	15	1	6				
391	32	144	96	2665	14	3	4				
392	36	135	84	2370	13	1	4				
393	27	151	90	2950	17	1	4				
394	27	140	86	2790	16	1	4				
395	44	97	52	2130	25	2	4				
396	32	135	84	2295	12	1	4				
397	28	120	79	2625	19	1	4				
398	31	119	82	2720	19	1	4				
